nom_clean,start,stop
ARTSETMETIERS,3,11
ARTSETMETIERS,11,3
BARBESROCHECHOUART,2,4
BARBESROCHECHOUART,4,2
BASTILLE,1,5
BASTILLE,1,8
BASTILLE,5,1
BASTILLE,5,8
BASTILLE,8,1
BASTILLE,8,5
BELLEVILLE,2,11
BELLEVILLE,11,2
BERCY,6,14
BERCY,14,6
BONNENOUVELLE,8,9
BONNENOUVELLE,9,8
CHAMPSELYSEESCLEMENCEAU,1,13
CHAMPSELYSEESCLEMENCEAU,13,1
CHARLESDEGAULLEETOILE,1,2
CHARLESDEGAULLEETOILE,1,6
CHARLESDEGAULLEETOILE,2,1
CHARLESDEGAULLEETOILE,2,6
CHARLESDEGAULLEETOILE,6,1
CHARLESDEGAULLEETOILE,6,2
CHATELET,1,4
CHATELET,1,7
CHATELET,1,11
CHATELET,1,14
CHATELET,4,1
CHATELET,4,7
CHATELET,4,11
CHATELET,4,14
CHATELET,7,1
CHATELET,7,4
CHATELET,7,11
CHATELET,7,14
CHATELET,11,1
CHATELET,11,4
CHATELET,11,7
CHATELET,11,14
CHATELET,14,1
CHATELET,14,4
CHATELET,14,7
CHATELET,14,11
CHAUSSEEDANTINLAFAYETTE,7,9
CHAUSSEEDANTINLAFAYETTE,9,7
CONCORDE,1,8
CONCORDE,1,12
CONCORDE,8,1
CONCORDE,8,12
CONCORDE,12,1
CONCORDE,12,8
DAUMESNIL,6,8
DAUMESNIL,8,6
DENFERTROCHEREAU,4,6
DENFERTROCHEREAU,6,4
DUROC,10,13
DUROC,13,10
FRANKLINDROOSEVELT,1,9
FRANKLINDROOSEVELT,9,1
GAMBETTA,3,3bis
GAMBETTA,3bis,3
GAREDAUSTERLITZ,5,10
GAREDAUSTERLITZ,10,5
GAREDELEST,4,5
GAREDELEST,4,7
GAREDELEST,5,4
GAREDELEST,5,7
GAREDELEST,7,4
GAREDELEST,7,5
GAREDELYON,1,14
GAREDELYON,14,1
GAREDUNORD,4,5
GAREDUNORD,5,4
GRANDSBOULEVARDS,8,9
GRANDSBOULEVARDS,9,8
HAVRECAUMARTIN,3,9
HAVRECAUMARTIN,9,3
HOTELDEVILLE,1,11
HOTELDEVILLE,11,1
INVALIDES,8,13
INVALIDES,13,8
JAURES,2,5
JAURES,2,7bis
JAURES,5,2
JAURES,5,7bis
JAURES,7bis,2
JAURES,7bis,5
JUSSIEU,7,10
JUSSIEU,10,7
LAMOTTEPICQUETGRENELLE,6,8
LAMOTTEPICQUETGRENELLE,6,10
LAMOTTEPICQUETGRENELLE,8,6
LAMOTTEPICQUETGRENELLE,8,10
LAMOTTEPICQUETGRENELLE,10,6
LAMOTTEPICQUETGRENELLE,10,8
LOUISBLANC,7,7bis
LOUISBLANC,7bis,7
MADELEINE,8,12
MADELEINE,8,14
MADELEINE,12,8
MADELEINE,12,14
MADELEINE,14,8
MADELEINE,14,12
MARCADETPOISSONNIERS,4,12
MARCADETPOISSONNIERS,12,4
MICHELANGEAUTEUIL,9,10
MICHELANGEAUTEUIL,10,9
MICHELANGEMOLITOR,9,10
MICHELANGEMOLITOR,10,9
MIROMESNIL,9,13
MIROMESNIL,13,9
MONTPARNASSEBIENVENUE,4,6
MONTPARNASSEBIENVENUE,4,12
MONTPARNASSEBIENVENUE,4,13
MONTPARNASSEBIENVENUE,6,4
MONTPARNASSEBIENVENUE,6,12
MONTPARNASSEBIENVENUE,6,13
MONTPARNASSEBIENVENUE,12,4
MONTPARNASSEBIENVENUE,12,6
MONTPARNASSEBIENVENUE,12,13
MONTPARNASSEBIENVENUE,13,4
MONTPARNASSEBIENVENUE,13,6
MONTPARNASSEBIENVENUE,13,12
NATION,1,2
NATION,1,6
NATION,1,9
NATION,2,1
NATION,2,6
NATION,2,9
NATION,6,1
NATION,6,2
NATION,6,9
NATION,9,1
NATION,9,2
NATION,9,6
OBERKAMPF,5,9
OBERKAMPF,9,5
ODEON,4,10
ODEON,10,4
OPERA,3,7
OPERA,3,8
OPERA,7,3
OPERA,7,8
OPERA,8,3
OPERA,8,7
PALAISROYALMUSEEDULOUVRE,1,7
PALAISROYALMUSEEDULOUVRE,7,1
PASTEUR,6,12
PASTEUR,12,6
PERELACHAISE,2,3
PERELACHAISE,3,2
PIGALLE,2,12
PIGALLE,12,2
PLACEDECLICHY,2,13
PLACEDECLICHY,13,2
PLACEDESFETES,11,7bis
PLACEDESFETES,7bis,11
PLACEDITALIE,5,6
PLACEDITALIE,5,7
PLACEDITALIE,6,5
PLACEDITALIE,6,7
PLACEDITALIE,7,5
PLACEDITALIE,7,6
PORTEDESLILAS,11,3bis
PORTEDESLILAS,3bis,11
PYRAMIDES,7,14
PYRAMIDES,14,7
RASPAIL,4,6
RASPAIL,6,4
REAUMURSEBASTOPOL,3,4
REAUMURSEBASTOPOL,4,3
REPUBLIQUE,3,5
REPUBLIQUE,3,8
REPUBLIQUE,3,9
REPUBLIQUE,3,11
REPUBLIQUE,5,3
REPUBLIQUE,5,8
REPUBLIQUE,5,9
REPUBLIQUE,5,11
REPUBLIQUE,8,3
REPUBLIQUE,8,5
REPUBLIQUE,8,9
REPUBLIQUE,8,11
REPUBLIQUE,9,3
REPUBLIQUE,9,5
REPUBLIQUE,9,8
REPUBLIQUE,9,11
REPUBLIQUE,11,3
REPUBLIQUE,11,5
REPUBLIQUE,11,8
REPUBLIQUE,11,9
REUILLYDIDEROT,1,8
REUILLYDIDEROT,8,1
RICHELIEUDROUOT,8,9
RICHELIEUDROUOT,9,8
SEVRESBABYLONE,10,12
SEVRESBABYLONE,12,10
STALINGRAD,2,5
STALINGRAD,2,7
STALINGRAD,5,2
STALINGRAD,5,7
STALINGRAD,7,2
STALINGRAD,7,5
STLAZARE,3,12
STLAZARE,3,13
STLAZARE,3,14
STLAZARE,12,3
STLAZARE,12,13
STLAZARE,12,14
STLAZARE,13,3
STLAZARE,13,12
STLAZARE,13,14
STLAZARE,14,3
STLAZARE,14,12
STLAZARE,14,13
STRASBOURGSTDENIS,4,8
STRASBOURGSTDENIS,4,9
STRASBOURGSTDENIS,8,4
STRASBOURGSTDENIS,8,9
STRASBOURGSTDENIS,9,4
STRASBOURGSTDENIS,9,8
TROCADERO,6,9
TROCADERO,9,6
VILLIERS,2,3
VILLIERS,3,2
